index,attribute,value,definition
5,KBA05_GBZ,1,Number of buildings in the microcell - 1-2 buildings
5,KBA05_GBZ,2,Number of buildings in the microcell - 3-4 buildings
5,KBA05_GBZ,3,Number of buildings in the microcell - 5-16 buildings
5,KBA05_GBZ,4,Number of buildings in the microcell - 17-22 buildings
5,KBA05_GBZ,5,Number of buildings in the microcell - >=23 buildings
6,KBA05_ANTG1,0,Number of 1-2 family houses in the microcell - no 1-2 family homes
6,KBA05_ANTG1,1,Number of 1-2 family houses in the microcell - lower share of 1-2 family homes
6,KBA05_ANTG1,2,Number of 1-2 family houses in the microcell - average share of 1-2 family homes
6,KBA05_ANTG1,3,Number of 1-2 family houses in the microcell - high share of 1-2 family homes
6,KBA05_ANTG1,4,Number of 1-2 family houses in the microcell - very high share of 1-2 family homes
7,PLZ8_ANTG1,0,Number of 1-2 family houses in the PLZ8 region - no 1-2 family homes
7,PLZ8_ANTG1,1,Number of 1-2 family houses in the PLZ8 region - lower share of 1-2 family homes
7,PLZ8_ANTG1,2,Number of 1-2 family houses in the PLZ8 region - average share of 1-2 family homes
7,PLZ8_ANTG1,3,Number of 1-2 family houses in the PLZ8 region - high share of 1-2 family homes
7,PLZ8_ANTG1,4,Number of 1-2 family houses in the PLZ8 region - very high share of 1-2 family homes
8,MOBI_REGIO,1,Movement patterns - very high movement
8,MOBI_REGIO,2,Movement patterns - high movement
8,MOBI_REGIO,3,Movement patterns - middle movement
8,MOBI_REGIO,4,Movement patterns - low movement
8,MOBI_REGIO,5,Movement patterns - very low movement
8,MOBI_REGIO,6,Movement patterns - none
9,FINANZ_MINIMALIST,1,Financial typology - low financial interest - very high
9,FINANZ_MINIMALIST,2,Financial typology - low financial interest - high
9,FINANZ_MINIMALIST,3,Financial typology - low financial interest - average
9,FINANZ_MINIMALIST,4,Financial typology - low financial interest - low
9,FINANZ_MINIMALIST,5,Financial typology - low financial interest - very low
